,question,result
146,맨홀의 크기와 재질은 어떻게 되나요?,"1. 맨홀의 크기는 어떻게 되나요?
2. 맨홀의 재질은 어떻게 되나요?"
1076,"이진호가 일본으로 피신했을 때, 어떤 인물들과 함께했으며, 그들이 모두 어디로 갔는가?","1. 이진호가 일본으로 피신했을 때, 함께한 인물들은 누구인가?
2. 이진호와 함께한 인물들이 피신한 장소는 어디인가?"
876,"《밀림아 이야기하라》의 주인공 최병훈의 직책은 무엇이며, 그의 활동은 어떻게 이루어졌나?","1. 《밀림아 이야기하라》의 주인공 최병훈의 직책은 무엇인가요?
2. 《밀림아 이야기하라》의 주인공 최병훈의 활동은 어떻게 이루어졌나요?"
201,"브리즈번은 세계 제2차 대전 당시 어떤 역할을 하였으며, 그 외에도 어떤 국제 대회를 개최하였는가?","1. 브리즈번은 세계 제2차 대전에서 어떤 역할을 했나?
2. 브리즈번에서 어떤 국제 대회 개최하였는가?"
630,진먼현의 위치와 영역은 무엇인가?,"1. 진먼현 위치는 어디인가?
2. 진먼현 영역은 무엇인가?"
813,플랑크 전류의 공식과 도체에서의 정의는 어떤 관계가 있는가?,"1. 플랑크 전류의 공식이란 무엇인가?
2. 도체에서의 전류 정의는 플랑크 전류의 공식과 어떤 관계가 있는가?"
853,지구를 한바퀴 이상 도는 지구궤도 우주선과 100km 이상의 고도까지 탄도비행으로 올라간 비행기의 조종사는 누구인가?,"1. 지구를 한바퀴 이상 도는 지구궤도 우주선의 조종사는 누구인가?
2. 100km 이상의 고도까지 탄도비행으로 올라간 비행기의 조종사는 누구인가?"
1169,"1927년 기준 본선 철도 시설의 총 건설비는 얼마였으며, 이 당시 철도 종사원 수는 얼마인가?","1. 1927년 기준 본선 철도 시설의 총 건설비는 얼마인가?
2. 1927년 당시 철도 종사원 수는 얼마인가?"
942,비행기 제작사와 날개의 특징을 모두 설명해 주세요.,"1. 비행기 제작사의 종류는 무엇인가요?
2. 비행기 날개의 종류와 기능에 대해 자세히 설명해 주세요."
588,해파리에 접촉할 경우의 위험한 상황은 무엇인가?,"1. 해파리에 접촉 시 발생하는 증상은 무엇인가?
2. 해파리에 쏘였을 때 처치 방법은 무엇인가?"
40,한국불교태고종이 분립한 이유와 날짜를 알려주세요.,"1. 한국불교태고종이 왜 분립되었는지 알려주세요.
2. 한국불교태고종이 언제 분립되었는지 알려주세요."
225,"복수차관제 도입 논란은 언제부터 시작되었으며, 어떤 의견이 있는가?","1. 복수차관제 도입 논란은 언제부터 시작되었나요?
2. 복수차관제 도입 논란과 관련해서 어떤 의견들이 있나요?"
1013,"반데르발스 상태 방정식의 발견자는 누구이며, 언제 발견했는가?","1. 반데르발스 상태 방정식의 발견자는 누구인가?
2. 반데르발스 상태 방정식이 언제 발견되었는가?"
1190,"교향곡 31번 D 장조 ""파리""는 언제 작곡되었고, 초연되었으며, 작곡자와 초연 지휘자는 누구인가?","1. 교향곡 31번 D 장조 ""파리""의 작곡 일자는 언제인가?
2. 교향곡 31번 D 장조 ""파리""의 작곡자는 누구인가?
3. 교향곡 31번 D 장조 ""파리""의 초연 일자는 언제인가?
4. 교향곡 31번 D 장조 ""파리""의 초연 지휘자는 누구인가?"
1054,트리엔트 공의회의 주요 성명과 결과는 무엇인가?,"1. 트리엔트 공의회의 주요 성명은 무엇인가?
2. 트리엔트 공의회의 결과는 무엇인가?"
1224,"오비강은 어디에 위치하고, 지류가 몇 개 있으며, 그 중 가장 큰 지류는 무엇인가?","1. 오비강의 위치는 어디인가?
1. 오비강의 지류는 몇 개인가?
2. 오비강 지류 중 가장 큰 지류는 무엇인가?"
966,"만화 《오란고교 호스트부》는 언제부터 연재를 시작했으며, 대한민국에서는 언제까지 연재가 완료되었나?","1. 만화 《오란고교 호스트부》의 연재 시작일은 언제인가요?
2. 대한민국에서 만화 《오란고교 호스트부》는 언제까지 연재되었나요?"
878,"AHAH와 Ajax는 어떤 점에서 다르며, AHAH를 사용하기 위한 가장 실용적인 연습은 무엇인가?","1. AHAH와 Ajax의 차이점은 무엇인가?
2. AHAH를 사용하는데 가장 효과적인 연습은 무엇인가?"
952,"세륨의 이름은 어디서 유래되었으며, 어떤 의미를 가지고 있는가?","1. 세륨의 이름 유래는 무엇인가?
2. 세륨 이름의 의미는 무엇인가?"
519,"니콜라이 표도로비치 바투틴은 제2차 세계 대전에서 활약한 소련의 군인으로, 어떤 작전을 입안했으며 그 결과로 중장으로 진급했는가?","1. 니콜라이 표도로비치 바투틴은 제2차 세계 대전에서 어떤 작전을 펼쳤는가?
2. 니콜라이 표도로비치 바투틴이 중장으로 진급한 이유는 무엇인가?"
248,"교황 실베스테르 2세는 어떤 학문을 널리 장려했으며, 유럽에서 어떤 기구를 재도입하였는가?","1. 교황 실베스테르 2세는 어떤 학문을 널리 장렬했는가?
2. 교황 실베스테르 2세는 유럽에서 어떤 기구를 재도입하였는가?"
834,"20세기 중후반 아시아의 네 마리 용 국가들이 신흥공업국으로 성장한 요인은 무엇이고, 이후에 그들의 경제성장은 어떻게 변했나?","1. 아시아의 네 마리 용 국가들이 20세기 중후반 신흥공업국의 경제성장 요인은 무엇인가?
2. 아시아의 네 마리 용 국가들이 신흥공업국 경제성장 이후 변화는 무엇인가?"
